percolation,avg_degree,betweenness,closeness,eigenvector,clustering,density,avg_kcore,persistence,wat_cc,cat_cc,an_cc,wat_deg,wat_bc,wat_ec,cat_deg,cat_bc,cat_ec,an_deg,an_bc,an_ec,ham_hso_s1,ham_hso_s2,hso_hso_s1,hso_hso_s2,hso_hso_s3,wat_kcore,cat_kcore,an_kcore,assortativity,degree_variance
0.9975694444444444,17.474305555555556,10667.843055555555,0.2157958348915826,0.01099850247813903,0.5448965477009863,0.006069574698004708,9.364930555555556,0.0,0.19761096395498295,0.22174227073725655,0.24621914091910793,3.8222222222222224,490.15694444444443,0.0031631766357658173,12.926388888888889,327.4138888888889,0.010705356287222221,49.326388888888886,41363.64444444444,0.02696230035380226,2048.0,6206.0,596.0,3439.0,8329.0,3.142361111111111,12.061111111111112,19.113888888888887,0.03679025036714761,405.0250342399691
0.996875,17.477777777777778,10699.158333333333,0.2146742111041312,0.011153512975626409,0.5339572463782365,0.006070780749488634,9.39236111111111,0.7388747616020344,0.1961374455221085,0.22117594430846169,0.2452460090638461,3.792361111111111,581.3819444444445,0.003107253983813101,13.022222222222222,313.94166666666666,0.01097679576915329,49.30416666666667,41319.927777777775,0.02742274816572614,2060.0,6280.0,594.0,3470.0,8281.0,3.0770833333333334,12.186111111111112,19.229166666666668,0.037267959455456884,401.70922839506176
0.9975694444444444,17.417361111111113,10621.08125,0.2163220707685623,0.01122614743217729,0.5459152212758571,0.006049795453668326,9.329166666666667,0.7549938200231251,0.19802002263168234,0.22256701122158265,0.24668122658930194,3.765972222222222,454.30555555555554,0.0031667012929534714,12.873611111111112,251.96666666666667,0.011043796726913937,49.263888888888886,41323.74722222222,0.02752739041588827,2070.0,6184.0,557.0,3510.0,8289.0,3.0805555555555557,12.040277777777778,19.115277777777777,0.03335237009243383,403.889698591821
0.9979166666666667,17.504166666666666,10606.489583333334,0.21683287031604365,0.010831160880735697,0.5431892592364846,0.00607994674076647,9.357291666666667,0.7631516305641514,0.1987801403709744,0.22269349243543649,0.24707770808678925,3.8618055555555557,466.4166666666667,0.0031049706235197713,12.841666666666667,233.39166666666668,0.01053302479056285,49.451388888888886,41259.73333333333,0.0265816774853404,2067.0,6189.0,585.0,3477.0,8343.0,3.1527777777777777,12.008333333333333,19.115277777777777,0.0366643879642643,407.61248263888893
0.9975694444444444,17.41875,10628.778472222222,0.21627445244611987,0.011272308127364771,0.5437551092665517,0.006050277874261896,9.46111111111111,0.7605150899015269,0.19816894386336403,0.2222654593376372,0.24649446272011422,3.796527777777778,514.0388888888889,0.0032880597921837607,12.804166666666667,200.20555555555555,0.010895562686643982,49.27777777777778,41286.830555555556,0.02761755023844759,2014.0,6217.0,588.0,3494.0,8289.0,3.1083333333333334,11.980555555555556,19.647222222222222,0.03488356944135294,403.2996484374999
0.9961805555555555,17.572916666666668,10604.609722222222,0.2157384333697265,0.010841537931488131,0.5511852069622359,0.006103826560148199,9.509722222222223,0.762655601659751,0.19719713905521583,0.22213134319063269,0.24642811217784175,3.8159722222222223,505.41805555555555,0.003004887966675066,12.959722222222222,216.10555555555555,0.010591755462738807,49.7,41191.49722222222,0.026764620329863584,2032.0,6281.0,636.0,3463.0,8358.0,3.1375,12.094444444444445,19.669444444444444,0.030262846643712975,411.2300998263888
0.9951388888888889,17.472916666666666,10518.372916666667,0.21601427369605375,0.010959015321166027,0.551180927872937,0.006069092277411138,9.460416666666667,0.7697627280314773,0.19745259269930196,0.22244407228565793,0.24670783709995314,3.7666666666666666,425.39166666666665,0.0030643744940050746,12.893055555555556,220.55,0.010735984862727548,49.46527777777778,41002.15833333333,0.026971327433926412,2055.0,6252.0,560.0,3448.0,8386.0,3.1375,12.118055555555555,19.448611111111113,0.029654633652518258,407.9471831597223
0.9975694444444444,17.538888888888888,10651.851388888888,0.21593920461059085,0.010957449084419056,0.5430544770946542,0.0060920072556057275,9.515625,0.7517025657269559,0.197490347031144,0.22229313745531215,0.24648298692476334,3.7729166666666667,458.28055555555557,0.0029956029499479957,12.977777777777778,299.75,0.010775929609777466,49.63194444444444,41391.09444444445,0.027062660828002766,2084.0,6275.0,594.0,3454.0,8406.0,3.0770833333333334,12.13888888888889,19.769444444444446,0.03063938405926004,408.9040432098765
0.9965277777777778,17.490972222222222,10611.491666666667,0.21576034397343752,0.010736334360943851,0.5469319218483268,0.006075363745127552,9.357986111111112,0.7639258347560249,0.19716162810287838,0.2221275373644712,0.24659058232352218,3.7319444444444443,493.7138888888889,0.0029482108954199844,12.948611111111111,259.14722222222224,0.010491657219582605,49.55138888888889,41199.39166666667,0.026557258433352833,2049.0,6225.0,603.0,3495.0,8355.0,3.0756944444444443,12.04861111111111,19.231944444444444,0.029958364925401233,409.9020018325617
0.996875,17.481944444444444,10636.56111111111,0.215629654636049,0.010980074456740667,0.5492500525981527,0.006072228011269345,9.34548611111111,0.7663859537618177,0.1971699108233637,0.22186141144382987,0.24631738545363888,3.7819444444444446,529.575,0.003066806248679749,12.875,295.7638888888889,0.010710501112987396,49.48888888888889,41191.330555555556,0.02707618421661577,2014.0,6273.0,593.0,3455.0,8383.0,3.1034722222222224,12.036111111111111,19.13888888888889,0.031919021945904597,409.63925733024695
