percolation,avg_degree,betweenness,closeness,eigenvector,clustering,density,avg_kcore,persistence,wat_cc,cat_cc,an_cc,wat_deg,wat_bc,wat_ec,cat_deg,cat_bc,cat_ec,an_deg,an_bc,an_ec,dmba_hso_s1,dmba_hso_s2,dmba_hso_s3,hso_hso_s1,hso_hso_s2,hso_hso_s3,wat_kcore,cat_kcore,an_kcore,assortativity,degree_variance
0.9991228070175439,43.68684210526316,6544.062280701754,0.2647657286372498,0.015149140458337098,0.5293372851904287,0.01916930324934759,23.824122807017545,0.0,0.23001172199496603,0.27971311419346456,0.28457234972331885,5.35,11.973684210526315,0.003196798508304583,42.94210526315789,5872.313157894737,0.016428844658485722,82.76842105263158,13747.9,0.02582177820822098,3277.0,6714.0,20746.0,477.0,4318.0,10515.0,4.864473684210527,32.026315789473685,34.58157894736842,-0.382545963215023,1232.9817566943673
1.0,43.544736842105266,6566.434210526316,0.2649410399313085,0.014985229177814544,0.530682706728494,0.019106949031200204,23.492105263157896,0.8808646078846115,0.2304325616149978,0.27985145117187493,0.2845391070070528,5.29078947368421,23.978947368421053,0.0031298506755141,42.89736842105263,6036.6815789473685,0.016281614697964995,82.44605263157895,13638.642105263158,0.02554422215996454,3329.0,6720.0,20647.0,465.0,4337.0,10417.0,4.814473684210526,31.651315789473685,34.01052631578948,-0.3829518057329073,1229.3015073868883
0.9986842105263158,43.333333333333336,6541.9552631578945,0.26437646671605747,0.015113743979912591,0.5301581184026698,0.019014187509141436,23.434649122807016,0.8678137651821862,0.22973228778641006,0.27932619163869393,0.2840709207230683,5.330263157894737,11.971052631578948,0.003239691295536523,42.625,5835.8105263157895,0.016404296696149123,82.04473684210527,13778.084210526316,0.025697243948052128,3277.0,6672.0,20535.0,461.0,4331.0,10369.0,4.855263157894737,31.54342105263158,33.90526315789474,-0.38147354212782103,1215.4634502923975
1.0,43.52807017543859,6556.744736842105,0.26515769345075507,0.015196798587365603,0.5319130059190277,0.019099635882158225,23.818421052631578,0.8400709362782637,0.23078076666325312,0.2798479824761553,0.2848443312128567,5.260526315789473,5.992105263157895,0.0032207535094867005,42.794736842105266,5902.303947368421,0.01648950121772618,82.52894736842106,13761.938157894738,0.02588014103488393,3317.0,6710.0,20595.0,473.0,4328.0,10474.0,4.832894736842105,31.989473684210527,34.632894736842104,-0.3833200075944953,1228.0658787319176
1.0,43.3859649122807,6559.158771929825,0.26499038319667106,0.015100407849072545,0.5277754892571205,0.01903728166401084,23.66842105263158,0.8707440355843106,0.23076140182756402,0.27973688283844717,0.2844728649240021,5.322368421052632,11.98157894736842,0.0032000696133392603,42.67763157894737,5871.353947368421,0.01639523045826925,82.15789473684211,13794.140789473684,0.02570592347560913,3284.0,6695.0,20558.0,460.0,4325.0,10389.0,4.867105263157895,31.79605263157895,34.3421052631579,-0.3822458058536498,1220.479978454909
0.999561403508772,43.40877192982456,6553.9,0.26491064275900256,0.015018186267521697,0.5231215951100662,0.019047289131120915,23.37543859649123,0.8469870266337954,0.23044351375264577,0.2798044005785885,0.28448401394577333,5.272368421052631,29.955263157894738,0.0031495139546467064,42.714473684210525,6003.25,0.016311583180234145,82.23947368421052,13628.494736842105,0.025593461667684236,3341.0,6657.0,20567.0,469.0,4342.0,10394.0,4.809210526315789,31.460526315789473,33.85657894736842,-0.3832510785857788,1225.9618528778085
0.999561403508772,43.414912280701756,6540.930701754386,0.2651441056797396,0.014984326579232194,0.5280091124602789,0.019049983449189012,23.353947368421053,0.8693754672377912,0.23067762243260798,0.27997538903967795,0.2847793055669328,5.206578947368421,17.96842105263158,0.0031165249949273222,42.71578947368421,5885.313157894737,0.0162700301014931,82.32236842105263,13719.51052631579,0.025566424641276158,3300.0,6685.0,20632.0,483.0,4350.0,10375.0,4.781578947368421,31.45,33.830263157894734,-0.38506550200682105,1231.6225846414281
1.0,43.45175438596491,6554.563157894737,0.2652545896456792,0.015095725310355804,0.5310233421258923,0.01906614935759759,23.736842105263158,0.8647824770364388,0.23103836184661333,0.28000558043566887,0.28471982665475537,5.273684210526316,23.976315789473684,0.0032309963074399132,42.830263157894734,6085.502631578947,0.016394598589736888,82.25131578947368,13554.21052631579,0.02566158103389062,3297.0,6714.0,20610.0,469.0,4292.0,10420.0,4.876315789473685,31.86315789473684,34.47105263157895,-0.3843448852193065,1226.443286395814
0.999561403508772,43.52807017543859,6529.191228070175,0.26542348259832155,0.0150274709703004,0.5293846531864778,0.019099635882158225,23.692105263157895,0.8735238402321551,0.23117239862187156,0.2800652130913443,0.2850328360817487,5.346052631578948,5.992105263157895,0.0032256992044635904,42.819736842105264,5920.244736842105,0.016290066501796863,82.41842105263157,13661.336842105264,0.025566647204640743,3279.0,6671.0,20686.0,470.0,4335.0,10420.0,4.906578947368421,31.771052631578947,34.39868421052632,-0.38249661251615763,1230.0623699599878
1.0,43.506140350877196,6544.211403508772,0.265587863975197,0.014878220733344499,0.5288536886547732,0.019090013317629308,23.39078947368421,0.8767869024336149,0.23138999475462732,0.2801736300069985,0.2851999671639652,5.311842105263158,17.978947368421053,0.003123624321615813,42.7171052631579,5800.011842105263,0.01612159189788939,82.48947368421052,13814.643421052631,0.025389445980528287,3321.0,6628.0,20627.0,450.0,4380.0,10457.0,4.85,31.44078947368421,33.88157894736842,-0.38202402369629096,1236.3797868574945
