percolation,avg_degree,betweenness,closeness,eigenvector,clustering,density,avg_kcore,persistence,wat_cc,cat_cc,an_cc,wat_deg,wat_bc,wat_ec,cat_deg,cat_bc,cat_ec,an_deg,an_bc,an_ec,dmba_hso_s1,dmba_hso_s2,dmba_hso_s3,hso_hso_s1,hso_hso_s2,hso_hso_s3,wat_kcore,cat_kcore,an_kcore,assortativity,degree_variance
0.9993055555555556,32.35208333333333,9223.40763888889,0.24445257676800575,0.0122348978655333,0.5296229803863436,0.011237264096329745,17.432986111111113,0.0,0.22067589867519707,0.2661025097026668,0.27035600001896215,5.499305555555556,35.9375,0.0032707613446296985,41.15277777777778,12092.238888888889,0.016547327250439947,77.25694444444444,24729.516666666666,0.02585074152243385,2899.0,5679.0,18129.0,421.0,3687.0,9004.0,4.824305555555555,28.98611111111111,31.09722222222222,-0.28678043361363514,1037.8267317708335
0.9996527777777777,32.330555555555556,9230.013194444444,0.24456340918384026,0.012166537643040806,0.5308058835247933,0.011229786577129405,17.377430555555556,0.8437580548157059,0.2207820804359079,0.2660975331575127,0.27059194270603254,5.491666666666666,47.93194444444445,0.003227389110594618,41.00555555555555,11807.33888888889,0.01645249173146099,77.33333333333333,25016.85,0.025758880619513005,2845.0,5763.0,18020.0,410.0,3701.0,9053.0,4.809722222222222,28.829166666666666,31.06111111111111,-0.28550338997256713,1039.6775385802468
0.9996527777777777,32.33263888888889,9250.028472222222,0.24435466336461983,0.012143069190299822,0.5274311450570464,0.01123051020801976,17.355208333333334,0.8413840503447239,0.220616138701103,0.2659134029477418,0.27027297310853154,5.445833333333334,43.93888888888889,0.0032158383477733582,41.13055555555555,12181.8,0.01641510786629771,77.30833333333334,24730.43611111111,0.025725492199354865,2852.0,5722.0,18136.0,383.0,3765.0,8967.0,4.778472222222222,28.844444444444445,31.019444444444446,-0.28976637377322007,1039.678934702932
1.0,32.46180555555556,9229.331944444444,0.2448315106438686,0.012326542532701792,0.5276223361547192,0.011275375323221797,17.684722222222224,0.8322601347737726,0.22109397501248879,0.26637353861847035,0.27076455393202653,5.486805555555556,19.981944444444444,0.0032623826020298993,41.30138888888889,11914.433333333332,0.016694764600125086,77.57222222222222,24962.930555555555,0.026086640326622272,2877.0,5777.0,18162.0,392.0,3789.0,8984.0,4.83125,29.36111111111111,31.71527777777778,-0.28843739003524416,1046.6922911844135
0.9996527777777777,32.40069444444445,9251.440972222223,0.24413763433305052,0.012242196825471103,0.5214046781114796,0.011254148817104705,17.600347222222222,0.8344514220802881,0.22013482362252523,0.26596457133216406,0.27031631875498746,5.460416666666666,59.919444444444444,0.0031753203614652047,41.18888888888889,11958.5125,0.016616261030802982,77.49305555555556,24927.4125,0.02600188554815103,2858.0,5737.0,18212.0,417.0,3726.0,9033.0,4.7652777777777775,29.233333333333334,31.6375,-0.28626938311184363,1046.5311106288582
1.0,32.485416666666666,9261.402083333332,0.2444065424167239,0.012261436578776628,0.5255351691699259,0.011283576473312493,17.664583333333333,0.8331516278672054,0.2205208975442852,0.26607173829652175,0.2705126362818035,5.514583333333333,63.923611111111114,0.0032557562883346767,41.2125,11881.658333333333,0.016584389243339402,77.7,25036.102777777778,0.025949844495097758,2844.0,5737.0,18196.0,405.0,3770.0,9047.0,4.831944444444445,29.33888888888889,31.655555555555555,-0.2865914306483539,1049.5386762152777
1.0,32.360416666666666,9253.627083333333,0.24437290553243946,0.012353902515574437,0.5246700266826808,0.011240158619891166,17.48472222222222,0.8153393849653426,0.22062512254888367,0.26602469503170567,0.2702166820002848,5.477083333333334,31.958333333333332,0.0032876653886636884,41.205555555555556,12140.572222222223,0.016726778333600457,77.28194444444445,24810.019444444446,0.026113500951369915,2870.0,5726.0,18180.0,407.0,3754.0,8926.0,4.799305555555556,29.105555555555554,31.23472222222222,-0.2894385809324847,1036.8721831597222
0.9996527777777777,32.44305555555555,9251.986805555556,0.24423194709055956,0.012069388930014512,0.5240678375430409,0.0112688626452086,17.62534722222222,0.841559998287598,0.2201893262615282,0.2660990639735043,0.2704500718656776,5.447916666666667,47.93888888888889,0.0031440865497559026,41.2125,11982.404166666667,0.01635647789655877,77.66388888888889,24929.665277777778,0.025632904723987476,2855.0,5834.0,18097.0,401.0,3739.0,9075.0,4.792361111111111,29.266666666666666,31.65,-0.28946155194478274,1048.9974517746912
0.9993055555555556,32.200694444444444,9270.871527777777,0.24351796285866883,0.012251097447884085,0.5259204532016137,0.011184680251630582,17.398611111111112,0.8372619638120296,0.21961501818352633,0.2652751308155443,0.26956668425207825,5.4847222222222225,43.919444444444444,0.0032413118277322605,40.90416666666667,11817.768055555556,0.016596925896101695,76.92916666666666,25177.879166666666,0.025924840239970118,2836.0,5799.0,17945.0,405.0,3728.0,8919.0,4.814583333333333,28.880555555555556,31.084722222222222,-0.28670256916672393,1025.368749517747
0.9993055555555556,32.25347222222222,9286.972916666668,0.2433377759775439,0.012168144115814223,0.521205351516224,0.011203012234186254,17.37638888888889,0.8332220906448488,0.21921821882868428,0.26527227718163093,0.26964238907117616,5.428472222222222,67.88333333333334,0.0031431700216403564,40.94722222222222,11992.941666666668,0.01650743662880695,77.20972222222223,25019.183333333334,0.025878799791169232,2833.0,5739.0,18042.0,421.0,3739.0,9006.0,4.763194444444444,28.8625,31.116666666666667,-0.2860950754961054,1034.2135296103395
